Query de Busqueda;ID;Titulo del producto;Precio;Cantidad disponible;Condicion;Link al item;Estado;Garantia;Direccion vendedor
notebook apple;MLA1292467347;Macbook Pro - Excelente Estado ;70000;1;new;https://articulo.mercadolibre.com.ar/MLA-1292467347-macbook-pro-excelente-estado-_JM;active;Sin garantía;
notebook apple;MLA1292121570;Apple Macbook Air M1 8gb 512gb Ssd Retina Ips Display;697700;1;new;https://articulo.mercadolibre.com.ar/MLA-1292121570-apple-macbook-air-m1-8gb-512gb-ssd-retina-ips-display-_JM;active;Garantía del vendedor: 6 meses;
notebook apple;MLA1219821755;Macbook Air M1 512gb Ssd 8gb Ram Retina Ips Display 60hz;672000;1;new;https://articulo.mercadolibre.com.ar/MLA-1219821755-macbook-air-m1-512gb-ssd-8gb-ram-retina-ips-display-60hz-_JM;active;Garantía del vendedor: 6 meses;
notebook apple;MLA1122551412;Apple Macbook Pro 16 Pulgadas Chip M1 Pro 16gb Ram 512gb Ssd;1089957;1;new;https://articulo.mercadolibre.com.ar/MLA-1122551412-apple-macbook-pro-16-pulgadas-chip-m1-pro-16gb-ram-512gb-ssd-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA1219947373;Macbook Air M1 256gb Ssd 8gb Ram Retina Ips Display 60hz;554700;1;new;https://articulo.mercadolibre.com.ar/MLA-1219947373-macbook-air-m1-256gb-ssd-8gb-ram-retina-ips-display-60hz-_JM;active;Garantía del vendedor: 6 meses;
notebook apple;MLA1292153227;Apple Macbook Air M2 Chip 256gb 16gb Liquid Retina Display;718400;1;new;https://articulo.mercadolibre.com.ar/MLA-1292153227-apple-macbook-air-m2-chip-256gb-16gb-liquid-retina-display-_JM;active;Garantía del vendedor: 6 meses;
notebook apple;MLA1151795010;Macbook Air 13.6 Apple Chip M2 A2681 Ssd 256gb 8gb Stock Ya;650000;3;new;https://articulo.mercadolibre.com.ar/MLA-1151795010-macbook-air-136-apple-chip-m2-a2681-ssd-256gb-8gb-stock-ya-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA1112791091;Macbook Pro Apple M1 Pro Chip 16gb 1tb 14,2´´ Liquid Retina;1499999;1;new;https://articulo.mercadolibre.com.ar/MLA-1112791091-macbook-pro-apple-m1-pro-chip-16gb-1tb-142-liquid-retina-_JM;active;Garantía del vendedor: 3 meses;
notebook apple;MLA1116098248;Macbook Pro 16  Apple M1 Pro Chip 10 Core Cpu/16 Gpu 512gb S;1649320;101;new;https://articulo.mercadolibre.com.ar/MLA-1116098248-macbook-pro-16-apple-m1-pro-chip-10-core-cpu16-gpu-512gb-s-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA909258676;Apple Macbook Air 13.3 A2337 M1 Chip 8gb 256gb Retina 2020;451999;3;new;https://articulo.mercadolibre.com.ar/MLA-909258676-apple-macbook-air-133-a2337-m1-chip-8gb-256gb-retina-2020-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA1217062692;Macbook Pro 2015;240000;1;new;https://articulo.mercadolibre.com.ar/MLA-1217062692-macbook-pro-2015-_JM;active;Garantía del vendedor: 1 meses;
notebook apple;MLA1252843616;Apple Macbook Pro 16  Chip M1 Pro 16 Gb Ram 512 Ssd Español;1130371;1;new;https://articulo.mercadolibre.com.ar/MLA-1252843616-apple-macbook-pro-16-chip-m1-pro-16-gb-ram-512-ssd-espanol-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA1286996439;Apple Macbook Air Chip M1 256 Gb Ssd 8 Gb De Ram Space Gray;430000;1;new;https://articulo.mercadolibre.com.ar/MLA-1286996439-apple-macbook-air-chip-m1-256-gb-ssd-8-gb-de-ram-space-gray-_JM;active;Garantía del vendedor: 60 días;
notebook apple;MLA904055844;Laptop Macbook Air Apple 512gb M1 Chip 16-core Neural Engine;590000;500;new;https://articulo.mercadolibre.com.ar/MLA-904055844-laptop-macbook-air-apple-512gb-m1-chip-16-core-neural-engine-_JM;active;Garantía del vendedor: 3 meses;
notebook apple;MLA1127503525;Macbook Air M1 2020 Plata, 8gb De Ram 256gb. A Pedido!!;1232156.1;1;new;https://articulo.mercadolibre.com.ar/MLA-1127503525-macbook-air-m1-2020-plata-8gb-de-ram-256gb-a-pedido-_JM;active;Sin garantía;
notebook apple;MLA1305965300;Apple Macbook Air 13,3 M1 256gb 8gb Ram Mgn63ll/a _ap;368000;1;new;https://articulo.mercadolibre.com.ar/MLA-1305965300-apple-macbook-air-133-m1-256gb-8gb-ram-mgn63lla-ap-_JM;active;Garantía del vendedor: 6 meses;
notebook apple;MLA1297860110;Apple Macbook Air M2 2022 13.6  8gb 256gb Ssd, 8-core Gpu In;558467;1;new;https://articulo.mercadolibre.com.ar/MLA-1297860110-apple-macbook-air-m2-2022-136-8gb-256gb-ssd-8-core-gpu-in-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA1167148156;Macbook Pro 16  M1 Max 10cpu 32gpu 32gb 1tb Ssd - Space Grey;1699999;1;new;https://articulo.mercadolibre.com.ar/MLA-1167148156-macbook-pro-16-m1-max-10cpu-32gpu-32gb-1tb-ssd-space-grey-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA1162376780;Macbook Air M2 2022 Starlight 13.6 , Apple M2  8gb 256gb;605283.63;1;new;https://articulo.mercadolibre.com.ar/MLA-1162376780-macbook-air-m2-2022-starlight-136-apple-m2-8gb-256gb-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA1177150931;Apple Macbook Air M2 8gb Ram 256 Ssd 13.6 A2681 Midnight;464633;1;new;https://articulo.mercadolibre.com.ar/MLA-1177150931-apple-macbook-air-m2-8gb-ram-256-ssd-136-a2681-midnight-_JM;active;Garantía de fábrica: 6 meses;
notebook apple;MLA896481938;Macbook Pro 2011;130000;1;new;https://articulo.mercadolibre.com.ar/MLA-896481938-macbook-pro-2011-_JM;active;Sin garantía;
notebook apple;MLA1164158287;Macbook Pro 14  M1 Pro Cpu 10 Core 16 Gb Ram, 1 Tb // Perth;1584205;1;new;https://articulo.mercadolibre.com.ar/MLA-1164158287-macbook-pro-14-m1-pro-cpu-10-core-16-gb-ram-1-tb-perth-_JM;active;Garantía de fábrica: 1 años;
notebook apple;MLA1292482885;Apple Macbook Pro 13 2022 M2 256 Gb Ssd 8 Gb Gris Espacial;550000;1;new;https://articulo.mercadolibre.com.ar/MLA-1292482885-apple-macbook-pro-13-2022-m2-256-gb-ssd-8-gb-gris-espacial-_JM;active;Garantía de fábrica: 1 años;
notebook apple;MLA1172543410;Cajas Mac Book Pro;2300;1;new;https://articulo.mercadolibre.com.ar/MLA-1172543410-cajas-mac-book-pro-_JM;active;Sin garantía;
notebook apple;MLA1280823745;Apple Macbook Pro 16  M1 Max 32 Gpu 16 Core 64gb Z14x000hq;2095000;1;new;https://articulo.mercadolibre.com.ar/MLA-1280823745-apple-macbook-pro-16-m1-max-32-gpu-16-core-64gb-z14x000hq-_JM;active;Garantía del vendedor: 6 meses;
notebook apple;MLA1308669351;Notebook Macbook Air Apple 8gb Ram 256gb Chip M1 2020 Ssd 13;349090;1;new;https://articulo.mercadolibre.com.ar/MLA-1308669351-notebook-macbook-air-apple-8gb-ram-256gb-chip-m1-2020-ssd-13-_JM;active;Garantía del vendedor: 6 meses;
notebook apple;MLA1159841078;Macbook Pro M1 Pro 16gb 512gb Ssd Liquid Retina Xdr 120hz;1354200;1;new;https://articulo.mercadolibre.com.ar/MLA-1159841078-macbook-pro-m1-pro-16gb-512gb-ssd-liquid-retina-xdr-120hz-_JM;active;Garantía del vendedor: 6 meses;
notebook apple;MLA1178588192;Macbook Air 11 2014 I5 4g Hd5000 Excelente! Ingles;132000;1;new;https://articulo.mercadolibre.com.ar/MLA-1178588192-macbook-air-11-2014-i5-4g-hd5000-excelente-ingles-_JM;active;Garantía del vendedor: 30 días;
notebook apple;MLA933671163;Apple Macbook Air Chip M1 8gb Ssd 256gb Mgn93ll/a Ingles;527699;1;new;https://articulo.mercadolibre.com.ar/MLA-933671163-apple-macbook-air-chip-m1-8gb-ssd-256gb-mgn93lla-ingles-_JM;active;Garantía del vendedor: 12 meses;
notebook apple;MLA1221683190;Apple Macbook Air Chip M2 256gb Ssd 8gb Ram 13.6 Pulgadas Ma;1060116.8;1;new;https://articulo.mercadolibre.com.ar/MLA-1221683190-apple-macbook-air-chip-m2-256gb-ssd-8gb-ram-136-pulgadas-ma-_JM;active;;
notebook apple;MLA1112783808;Macbook Pro 16 Chip M1 Pro 10 Core Gpu 16 Cor Ssd 512gb 16gb;1400000;1;new;https://articulo.mercadolibre.com.ar/MLA-1112783808-macbook-pro-16-chip-m1-pro-10-core-gpu-16-cor-ssd-512gb-16gb-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA1310169760;Macbook Pro M1 512gb;590000;1;new;https://articulo.mercadolibre.com.ar/MLA-1310169760-macbook-pro-m1-512gb-_JM;active;Garantía de fábrica: 1 meses;
notebook apple;MLA1314561975;Macbook Air M1 13' 2020, 256gb, 8gb Ram - Oro;430000;1;new;https://articulo.mercadolibre.com.ar/MLA-1314561975-macbook-air-m1-13-2020-256gb-8gb-ram-oro-_JM;active;Garantía de fábrica: 6 meses;
notebook apple;MLA1116086543;Macbook Pro 16  Apple M1 Pro Chip 10 Core Cpu/16 Gpu 512gb S;1332999;101;new;https://articulo.mercadolibre.com.ar/MLA-1116086543-macbook-pro-16-apple-m1-pro-chip-10-core-cpu16-gpu-512gb-s-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA1144069406;Notebook Macbook Pro 1 Tb 16gb Ram Apple M1 Pro Chip España;1599999;1;new;https://articulo.mercadolibre.com.ar/MLA-1144069406-notebook-macbook-pro-1-tb-16gb-ram-apple-m1-pro-chip-espana-_JM;active;Garantía del vendedor: 3 meses;
notebook apple;MLA1314587931;Macbook Air M1 13' 2020, 256gb, 8gb Ram - Oro;340000;1;new;https://articulo.mercadolibre.com.ar/MLA-1314587931-macbook-air-m1-13-2020-256gb-8gb-ram-oro-_JM;active;Garantía de fábrica: 6 meses;
notebook apple;MLA1314588270;M1 Macbook Pro 2020 13, 512gb, 8gb Ram - Gris Espacial;450000;1;new;https://articulo.mercadolibre.com.ar/MLA-1314588270-m1-macbook-pro-2020-13-512gb-8gb-ram-gris-espacial-_JM;active;Garantía de fábrica: 6 meses;
notebook apple;MLA1314601286;M1 Macbook Pro 2020 13 , 512gb, 8gb Ram - Gris Espacial;410000;1;new;https://articulo.mercadolibre.com.ar/MLA-1314601286-m1-macbook-pro-2020-13-512gb-8gb-ram-gris-espacial-_JM;active;Garantía de fábrica: 6 meses;
notebook apple;MLA870445623;Apple Macbook Air ;270450;1;new;https://articulo.mercadolibre.com.ar/MLA-870445623-apple-macbook-air-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA1147447855;Macbook Air 10th Generacion 13.3 Pulgadas 512gb Intel I5;407000;1;new;https://articulo.mercadolibre.com.ar/MLA-1147447855-macbook-air-10th-generacion-133-pulgadas-512gb-intel-i5-_JM;active;Garantía de fábrica: 6 meses;
notebook apple;MLA1190185668;Apple Macbook Pro Chip M1 Pro 16 Gb Ram 512 Gb Ssd;989999;1;new;https://articulo.mercadolibre.com.ar/MLA-1190185668-apple-macbook-pro-chip-m1-pro-16-gb-ram-512-gb-ssd-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA1219821065;Macbook Air M2 256gb Ssd 8gb Ram Liquid Retina 60hz Ips;592600;1;new;https://articulo.mercadolibre.com.ar/MLA-1219821065-macbook-air-m2-256gb-ssd-8gb-ram-liquid-retina-60hz-ips-_JM;active;Garantía del vendedor: 6 meses;
notebook apple;MLA1154890058;Apple Macbook Pro 13.3 Chip M2 8gb Ram 256gb Ssd 2022;682599;1;new;https://articulo.mercadolibre.com.ar/MLA-1154890058-apple-macbook-pro-133-chip-m2-8gb-ram-256gb-ssd-2022-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA1257949938;Apple Macbook Pro M1 Chip 256gb Ssd 8gb Ips Retina Display;603100;1;new;https://articulo.mercadolibre.com.ar/MLA-1257949938-apple-macbook-pro-m1-chip-256gb-ssd-8gb-ips-retina-display-_JM;active;Garantía del vendedor: 6 meses;
notebook apple;MLA1308640039;Apple Macbook Air A2337 13p M1 8 Core 8gb 256gb Space Gray;429000;1;new;https://articulo.mercadolibre.com.ar/MLA-1308640039-apple-macbook-air-a2337-13p-m1-8-core-8gb-256gb-space-gray-_JM;active;Garantía de fábrica: 1 años;
notebook apple;MLA928747752;Apple Macbook Air Chip M1 8gb Ssd 256gb Ingles Mgn63ll/a ;712799;1;new;https://articulo.mercadolibre.com.ar/MLA-928747752-apple-macbook-air-chip-m1-8gb-ssd-256gb-ingles-mgn63lla-_JM;active;Garantía de fábrica: 6 meses;
notebook apple;MLA1127977889;Macbook Pro 13 Inch 2017;280000;1;new;https://articulo.mercadolibre.com.ar/MLA-1127977889-macbook-pro-13-inch-2017-_JM;active;Sin garantía;
notebook apple;MLA1183799948;Macbook Air M2 2022 13.6  M2 8gb Ram 256gb Ssd Gris Espacial;599990;1;new;https://articulo.mercadolibre.com.ar/MLA-1183799948-macbook-air-m2-2022-136-m2-8gb-ram-256gb-ssd-gris-espacial-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA885194183;Mac 2020 27 5k I5 10ma 6cores Ssd 512gb Radeon 18 Cuotas;999999;1;new;https://articulo.mercadolibre.com.ar/MLA-885194183-mac-2020-27-5k-i5-10ma-6cores-ssd-512gb-radeon-18-cuotas-_JM;active;Garantía del vendedor: 12 meses;
notebook apple;MLA1131767410;Macbook Pro 16 Apple M1 Pro Chip 10 Core Cpu - 16 Core Gpu;1578499;1;new;https://articulo.mercadolibre.com.ar/MLA-1131767410-macbook-pro-16-apple-m1-pro-chip-10-core-cpu-16-core-gpu-_JM;active;Sin garantía;
notebook apple;MLA1154488958;Apple Macbook Pro 13,3'' Liquid Retina M2 Chip 256gb Ssd ;919999;1000;new;https://articulo.mercadolibre.com.ar/MLA-1154488958-apple-macbook-pro-133-liquid-retina-m2-chip-256gb-ssd-_JM;active;Garantía del vendedor: 3 meses;
notebook apple;MLA1160174213;Macbook Pro M1 Pro Chip 32gb 512gb Ssd Liquid Retina 120hz;1644400;1;new;https://articulo.mercadolibre.com.ar/MLA-1160174213-macbook-pro-m1-pro-chip-32gb-512gb-ssd-liquid-retina-120hz-_JM;active;Garantía del vendedor: 6 meses;
notebook apple;MLA1201589749;Apple Macbook Pro Chip M1 Pro 16gb Ssd 512gb Ing Mkgr3ll/a;1382939;1;new;https://articulo.mercadolibre.com.ar/MLA-1201589749-apple-macbook-pro-chip-m1-pro-16gb-ssd-512gb-ing-mkgr3lla-_JM;active;Garantía de fábrica: 6 meses;
notebook asus;MLA1259259677;Notebook Asus X515ea Gris 15.6 , Intel Core I5 1135g7  8gb De Ram 256gb Ssd, Intel Iris Xe Graphics G7 80eus 1920x1080px Freedos;181999;1;new;https://articulo.mercadolibre.com.ar/MLA-1259259677-notebook-asus-x515ea-gris-156-intel-core-i5-1135g7-8gb-de-ram-256gb-ssd-intel-iris-xe-graphics-g7-80eus-1920x1080px-freedos-_JM;active;Garantía del vendedor: 6 meses;
notebook asus;MLA1131334842;Notebook Asus X515ea Slate Gray 15.6 , Intel Core I5 1135g7  8gb De Ram 256gb Ssd, Intel Iris Xe Graphics G7 80eus 1920x1080px;194999;5000;new;https://articulo.mercadolibre.com.ar/MLA-1131334842-notebook-asus-x515ea-slate-gray-156-intel-core-i5-1135g7-8gb-de-ram-256gb-ssd-intel-iris-xe-graphics-g7-80eus-1920x1080px-_JM;active;Garantía de fábrica: 12 meses;
